,State,Year,Quarter,District,RegisteredUser
375,assam,2020,1,cachar district,111470
376,assam,2020,1,nalbari district,44217
377,assam,2020,1,west karbi anglong district,7470
378,assam,2020,1,dhemaji district,43124
379,assam,2020,1,karimganj district,54439
380,assam,2020,1,bongaigaon district,51420
381,assam,2020,1,dima hasao district,14831
382,assam,2020,1,baksa district,46215
383,assam,2020,1,charaideo district,26316
384,assam,2020,1,darrang district,45755
385,assam,2020,1,kamrup metropolitan district,412013
386,assam,2020,1,hailakandi district,36398
387,assam,2020,1,barpeta district,116286
388,assam,2020,1,goalpara district,56285
389,assam,2020,1,biswanath district,33906
390,assam,2020,1,jorhat district,78731
391,assam,2020,4,tinsukia district,124067
392,assam,2020,4,lakhimpur district,82304
393,assam,2020,4,kamrup district,136799
394,assam,2020,4,kokrajhar district,55442
395,assam,2020,4,karbi anglong district,53550
396,assam,2020,4,sivasagar district,70764
397,assam,2020,4,dibrugarh district,147001
398,assam,2020,4,south salmara mancachar district,25767
399,assam,2020,4,nagaon district,185101
400,assam,2020,4,dhubri district,93699
401,assam,2020,4,golaghat district,91426
402,assam,2020,4,udalguri district,52866
403,assam,2020,4,majuli district,12611
404,assam,2020,4,sonitpur district,146796
405,assam,2020,4,hojai district,59718
406,assam,2020,4,marigaon district,80980
407,assam,2020,4,chirang district,32930
408,assam,2020,4,cachar district,158821
409,assam,2020,4,nalbari district,63327
410,assam,2020,4,west karbi anglong district,11694
411,assam,2020,4,dhemaji district,63658
412,assam,2020,4,karimganj district,82813
413,assam,2020,4,bongaigaon district,74693
414,assam,2020,4,dima hasao district,22405
415,assam,2020,4,baksa district,69004
416,assam,2020,4,charaideo district,37521
417,assam,2020,4,darrang district,65570
418,assam,2020,4,kamrup metropolitan district,546458
419,assam,2020,4,hailakandi district,52612
420,assam,2020,4,barpeta district,164341
421,assam,2020,4,goalpara district,83715
422,assam,2020,4,biswanath district,49320
423,assam,2020,4,jorhat district,108380
424,assam,2018,3,tinsukia district,32870
425,assam,2018,3,lakhimpur district,18337
426,assam,2018,3,kamrup district,33197
427,assam,2018,3,kokrajhar district,13164
428,assam,2018,3,karbi anglong district,12282
429,assam,2018,3,sivasagar district,17447
430,assam,2018,3,dibrugarh district,40711
431,assam,2018,3,south salmara mancachar district,4903
432,assam,2018,3,nagaon district,40687
433,assam,2018,3,dhubri district,22705
