,State,Year,Quarter,District,count,amount
423,assam,2020,4,jorhat district,400452,815676507.4744498
424,assam,2018,3,tinsukia district,90928,155121755.76365337
425,assam,2018,3,lakhimpur district,51496,62695597.63194518
426,assam,2018,3,kamrup district,112726,148929589.80060056
427,assam,2018,3,kokrajhar district,40412,73077064.97429448
428,assam,2018,3,karbi anglong district,34200,57257408.755169146
429,assam,2018,3,sivasagar district,42699,59919419.351953864
430,assam,2018,3,dibrugarh district,98822,173048841.5837646
431,assam,2018,3,south salmara mancachar district,19386,26159422.01650779
432,assam,2018,3,nagaon district,142195,208584967.9650631
433,assam,2018,3,dhubri district,67607,103548615.7832775
434,assam,2018,3,golaghat district,54792,72105527.30150673
435,assam,2018,3,udalguri district,37084,49951166.54462874
436,assam,2018,3,majuli district,10921,8055597.913024999
437,assam,2018,3,sonitpur district,116196,252135800.71617544
438,assam,2018,3,hojai district,38583,61817228.94964518
439,assam,2018,3,marigaon district,102867,189132040.91743046
440,assam,2018,3,chirang district,18743,33723485.937145546
441,assam,2018,3,cachar district,123735,189612378.33199263
442,assam,2018,3,nalbari district,41038,53972192.02012733
443,assam,2018,3,west karbi anglong district,4995,4925639.964915074
444,assam,2018,3,dhemaji district,40083,66647316.37566679
445,assam,2018,3,karimganj district,44660,61562538.83501206
446,assam,2018,3,bongaigaon district,50508,82437701.24197799
447,assam,2018,3,dima hasao district,12952,21820660.620861933
448,assam,2018,3,baksa district,50043,78080860.90020068
449,assam,2018,3,charaideo district,28439,37987634.601765156
450,assam,2018,3,darrang district,51560,66050473.03652644
451,assam,2018,3,kamrup metropolitan district,476050,884121118.8280818
452,assam,2018,3,hailakandi district,29372,41835687.849734716
453,assam,2018,3,barpeta district,145945,230125281.84070832
454,assam,2018,3,goalpara district,57019,88773137.69565679
455,assam,2018,3,biswanath district,36071,49910423.578981526
456,assam,2018,3,jorhat district,79724,118008412.28630178
457,assam,2018,2,tinsukia district,66715,102921465.63822293
458,assam,2018,2,lakhimpur district,39374,43214923.214693636
459,assam,2018,2,kamrup district,74537,83338163.66068907
460,assam,2018,2,kokrajhar district,25926,39803961.022866696
461,assam,2018,2,karbi anglong district,21038,32715713.62045552
462,assam,2018,2,sivasagar district,32513,38045383.75274092
463,assam,2018,2,dibrugarh district,70642,110954951.68517756
464,assam,2018,2,south salmara mancachar district,11905,17203000.741125718
465,assam,2018,2,nagaon district,105834,129818644.91478491
466,assam,2018,2,dhubri district,45661,47762317.267708406
467,assam,2018,2,golaghat district,36437,43250232.58380605
468,assam,2018,2,udalguri district,27215,30375056.040722743
469,assam,2018,2,majuli district,5058,3699473.567640461
470,assam,2018,2,sonitpur district,82799,151230715.30607644
471,assam,2018,2,hojai district,27627,37555286.20435598
472,assam,2018,2,marigaon district,109223,204057284.2187584
473,assam,2018,2,chirang district,11893,20005276.774361502
474,assam,2018,2,cachar district,83921,105147622.61224496
475,assam,2018,2,nalbari district,28274,31476842.338154256
476,assam,2018,2,west karbi anglong district,3059,2307157.4720137673
477,assam,2018,2,dhemaji district,28048,40136198.64929268
478,assam,2018,2,karimganj district,29742,31418376.057903484
479,assam,2018,2,bongaigaon district,30556,41124057.19038026
480,assam,2018,2,dima hasao district,7909,15427592.177508093
481,assam,2018,2,baksa district,34924,47062551.49763677
482,assam,2018,2,charaideo district,22888,22097271.472520743
483,assam,2018,2,darrang district,39773,44360631.7271892
484,assam,2018,2,kamrup metropolitan district,320417,548619364.2308466
485,assam,2018,2,hailakandi district,20932,21484955.789951526
486,assam,2018,2,barpeta district,102217,117541108.74699074
487,assam,2018,2,goalpara district,38784,48654323.65172512
