,State,Year,Quarter,Transaction_type,Transaction_count,Transaction_amount
202,andhra-pradesh,2019,3,Merchant payments,16581787,7887394038.066369
203,andhra-pradesh,2019,3,Financial Services,122270,29778183.027080443
204,andhra-pradesh,2019,3,Others,413437,298142027.58625776
205,andhra-pradesh,2019,2,Peer-to-peer payments,32494402,103924649232.47021
206,andhra-pradesh,2019,2,Recharge & bill payments,14093964,4708345387.9101095
207,andhra-pradesh,2019,2,Merchant payments,9226537,4613405202.681959
208,andhra-pradesh,2019,2,Financial Services,145310,26626696.771042537
209,andhra-pradesh,2019,2,Others,448802,361492238.3966455
210,andhra-pradesh,2019,1,Peer-to-peer payments,37420988,77524329742.2595
211,andhra-pradesh,2019,1,Recharge & bill payments,14022264,3480641602.3771377
212,andhra-pradesh,2019,1,Merchant payments,5043682,2423536770.3706346
213,andhra-pradesh,2019,1,Financial Services,416325,47150177.52982048
214,andhra-pradesh,2019,1,Others,361263,284937624.5393019
215,andhra-pradesh,2019,4,Peer-to-peer payments,57181511,178893550050.68753
216,andhra-pradesh,2019,4,Merchant payments,25122370,13476303367.50486
217,andhra-pradesh,2019,4,Recharge & bill payments,24469888,8335168605.691999
218,andhra-pradesh,2019,4,Financial Services,105662,26796571.745749153
219,andhra-pradesh,2019,4,Others,338672,216496893.16102877
220,andhra-pradesh,2020,3,Peer-to-peer payments,106791894,406461788252.32056
221,andhra-pradesh,2020,3,Merchant payments,54055557,40739580213.86052
222,andhra-pradesh,2020,3,Recharge & bill payments,43500067,19475104674.827175
223,andhra-pradesh,2020,3,Financial Services,243088,256074924.7187529
224,andhra-pradesh,2020,3,Others,312329,151582519.18136686
225,andhra-pradesh,2020,2,Peer-to-peer payments,73609921,262731724130.7907
226,andhra-pradesh,2020,2,Recharge & bill payments,41013987,16991006436.573467
227,andhra-pradesh,2020,2,Merchant payments,29976765,22625596525.44269
228,andhra-pradesh,2020,2,Financial Services,140941,145274999.15679634
229,andhra-pradesh,2020,2,Others,176241,90087654.60009979
230,andhra-pradesh,2020,1,Peer-to-peer payments,65452143,223088554055.04755
231,andhra-pradesh,2020,1,Merchant payments,31408022,18603161784.496994
232,andhra-pradesh,2020,1,Recharge & bill payments,30449644,10813530777.973532
233,andhra-pradesh,2020,1,Financial Services,75238,43739133.169823855
234,andhra-pradesh,2020,1,Others,292310,188228538.37489766
235,andhra-pradesh,2020,4,Peer-to-peer payments,152003791,566639138543.7708
236,andhra-pradesh,2020,4,Merchant payments,86581460,66654048149.95168
237,andhra-pradesh,2020,4,Recharge & bill payments,46810304,20936337211.557747
238,andhra-pradesh,2020,4,Financial Services,265470,305168772.45601684
239,andhra-pradesh,2020,4,Others,457527,306853355.59473807
240,andhra-pradesh,2018,3,Peer-to-peer payments,16129591,32738630444.668724
241,andhra-pradesh,2018,3,Recharge & bill payments,7542005,1949098146.8941927
242,andhra-pradesh,2018,3,Merchant payments,1225416,685277254.5076212
243,andhra-pradesh,2018,3,Financial Services,380324,60790077.57437308
244,andhra-pradesh,2018,3,Others,348725,284248675.5700202
245,andhra-pradesh,2018,2,Recharge & bill payments,6456387,1598591488.4880352
246,andhra-pradesh,2018,2,Peer-to-peer payments,4745000,20451493098.8953
247,andhra-pradesh,2018,2,Merchant payments,604847,436785223.86032957
248,andhra-pradesh,2018,2,Financial Services,225621,68952114.81374599
249,andhra-pradesh,2018,2,Others,322063,328092346.575651
250,andhra-pradesh,2018,1,Recharge & bill payments,5027448,892293975.6698562
251,andhra-pradesh,2018,1,Peer-to-peer payments,3049646,10524250283.178782
252,andhra-pradesh,2018,1,Merchant payments,362672,247297640.24000686
253,andhra-pradesh,2018,1,Financial Services,204305,44808449.7639544
